Opportunity,Abbr,Tier,Industry Context,Pipeline,Role Title,Opportunity Name,Opportunity Type,Listing Type,Deadline / Cycle,URL,URL Status,Review Status,Notes,Last Checked,Publish Status
Academy of Motion Picture Arts,AMPAS,Tier 1,Documentary Film/Series,Production,Production Assistant,Academy Gold Rising Internships,Internship,Static Program,Annual-varies,https://www.oscars.org/academy-gold/rising,DEAD 404,NEEDS REVIEW,Summer internship program at studios and production companies; diverse candidates,"4/20/2026, 10:51:01 AM",DRAFT
BAVC Media,BAVC,Tier 2,Documentary Film/Series,Production,Production Assistant,BAVC MediaMaker Fellowship,Fellowship,Static Program,Annual-varies,https://bavc.org/mediamaker-fellowship,DEAD 404,NEEDS REVIEW,Bay Area Video Coalition; supports BIPOC emerging doc filmmakers,"4/20/2026, 10:51:01 AM",DRAFT
Bertha Foundation,BF,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Bertha Film Fund,Grant,Static Program,Rolling,https://berthafoundation.org/story/bertha-film-fund,DEAD 404,NEEDS REVIEW,Up to $25k for social justice documentary; by invitation only but worth tracking,"4/20/2026, 10:51:01 AM",DRAFT
BGDM,BGDM,Tier 2,Documentary Film/Series,Development,Development Assistant,BGDM MafiaMind Mentorship,Fellowship,Static Program,Annual-varies,https://www.bgdm.org/mafiamind,OK 200,NEEDS REVIEW,Black Girl Documentary Movement; peer mentorship and industry access,"4/20/2026, 10:51:01 AM",DRAFT
BGDM,BGDM,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,BGDM Sustainable Artist Fellowship,Fellowship,Static Program,Annual-varies,https://www.bgdm.org/sustainable-artist-fellowship,OK 200,NEEDS REVIEW,Stipend + development support for Black women documentary artists,"4/20/2026, 10:51:01 AM",DRAFT
Black Cinema Collective,BCC,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Black Cinema Collective Filmmaker Microgrant,Grant,Static Program,Annual-varies,https://www.blackcinemacollective.com/microgrant,DEAD 404,NEEDS REVIEW,Small grants for Black filmmakers in early-stage non-fiction projects,"4/20/2026, 10:51:01 AM",DRAFT
Hutchins Center (Harvard),BFP,Tier 2,Documentary Film/Series,Development,Story Researcher,Black Film Project Fellowship,Fellowship,Static Program,Annual-varies,https://hutchinscenter.fas.harvard.edu/black-film-project,BLOCKED (alive) Request failed for https://hut,NEEDS REVIEW,$80k stipend for filmmakers exploring Black experience; fiction and documentary,"4/20/2026, 10:51:01 AM",DRAFT
Black Public Media,BPM,Tier 1,Public Media,Development,Grants/Funding Assistant,Black Public Media 360 Incubator,Grant/Lab,Static Program,Annual-varies,https://www.blackpublicmedia.org/360-incubator,OK 200,NEEDS REVIEW,Development fund for Black producers; digital and broadcast non-fiction,"4/20/2026, 10:51:01 AM",DRAFT
Black Public Media,BPM,Tier 1,Public Media,Development,Grants/Funding Assistant,Black Public Media Pitch Black Forum,Lab/Pitch,Static Program,Annual-varies,https://www.blackpublicmedia.org/pitch-black,OK 200,NEEDS REVIEW,Pitch forum for Black public media projects,"4/20/2026, 10:51:01 AM",DRAFT
Concordia Studio,CON,Tier 2,Documentary Film/Series,Development,Development Assistant,Concordia Studio Fellowship,Fellowship,Static Program,Annual-varies,https://www.concordiastudio.com/fellowship,DEAD 404,NEEDS REVIEW,Filmmaker fellowship from the production company behind prominent Netflix docs,"4/20/2026, 10:51:01 AM",DRAFT
Cucalorus Film Festival,CUC,Tier 2,Documentary Film/Series,Post/Editorial,Edit Assistant,Cucalorus Work-In-Progress Lab,Lab,Static Program,Annual-Fall,https://cucalorus.org/works-in-progress,DEAD 404,NEEDS REVIEW,Wilmington NC-based; WIP feedback lab for documentary in post,"4/20/2026, 10:51:01 AM",DRAFT
Netflix,NFX-DART,Tier 2,Documentary Film/Series,Production,Production Coordinator,DART - Netflix Documentary Training,Apprenticeship,Static Program,Annual-varies,https://about.netflix.com/en/news/dart-documentary-training,OK 200,NEEDS REVIEW,Documentary above-the-line residency program from Netflix; competitive,"4/20/2026, 10:51:01 AM",DRAFT
Disability Rising,DR,Tier 2,Documentary Film/Series,Development,Development Assistant,Disability Rising Fellowship,Fellowship,Static Program,Annual-varies,https://www.disabilityrising.org/fellowship,BLOCKED (alive) DNS error: https://www.disabil,NEEDS REVIEW,Fellowship for disabled filmmakers in documentary and non-fiction,"4/20/2026, 10:51:01 AM",DRAFT
Documentary Archival Training Program,DATP,Tier 2,Archival Media,Archival,Archival Researcher,Documentary Archival Training Program,Apprenticeship,Static Program,Annual-varies,https://www.documentaryarchival.org,BLOCKED (alive) DNS error: https://www.documen,NEEDS REVIEW,Archival research training specifically for documentary filmmakers,"4/20/2026, 10:51:01 AM",DRAFT
Film Independent,FI,Tier 2,Documentary Film/Series,Development,Development Assistant,Film Independent Amplifier Fellowship,Fellowship,Static Program,Annual-varies,https://www.filmindependent.org/programs/amplifier-fellowship,DEAD 404,NEEDS REVIEW,Mentorship + development for filmmakers from underrepresented communities,"4/20/2026, 10:51:01 AM",DRAFT
Firelight Media,FM,Tier 1,Documentary Film/Series,Development,Story Researcher,Firelight Media / FRONTLINE Fellowship,Fellowship,Static Program,Annual-varies,https://www.firelightmedia.tv/frontline-fellowship,OK 200,NEEDS REVIEW,Joint fellowship with FRONTLINE; investigative documentary focus,"4/20/2026, 10:51:01 AM",DRAFT
Firelight Media,FM,Tier 1,Documentary Film/Series,Development,Story Researcher,Firelight Media Groundwork Regional Lab,Lab/Fellowship,Static Program,Annual-varies,https://www.firelightmedia.tv/groundwork,DEAD 404,NEEDS REVIEW,Regional filmmaker labs for filmmakers of color outside major media markets,"4/20/2026, 10:51:01 AM",DRAFT
International Film Seminars (Flaherty),IFS,Tier 2,Documentary Film/Series,Post/Editorial,Edit Assistant,Flaherty Film Fellowship,Fellowship,Static Program,Annual-varies,https://www.flahertyseminar.org/fellowship,DEAD 404,NEEDS REVIEW,Week-long immersive seminar for emerging documentary filmmakers; fellowship available,"4/20/2026, 10:51:01 AM",DRAFT
Ford Foundation,FF,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,Ford Foundation JustFilms Grant,Grant,Static Program,Annual-varies,https://www.fordfoundation.org/work/challenging-inequality/just-films,DEAD 404,NEEDS REVIEW,Social justice documentary grants; primarily org-level but tracks individual filmmaker projects,"4/20/2026, 10:51:01 AM",DRAFT
Frameline,FRAME,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Frameline Completion Fund,Grant,Static Program,Annual-varies,https://www.frameline.org/completion-fund,OK 200,NEEDS REVIEW,Post-production grants for LGBTQ+ documentary and narrative film,"4/20/2026, 10:51:01 AM",DRAFT
International Documentary Association,IDA,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,IDA Pare Lorentz Documentary Fund,Grant,Static Program,Annual-varies,https://www.documentary.org/funding,OK 200,NEEDS REVIEW,Supports docs that reflect the tradition of Pare Lorentz; civic/social focus,"4/20/2026, 10:51:01 AM",DRAFT
Television Academy Foundation,TAF,Tier 1,Documentary Film/Series,Production,Production Assistant,Television Academy Foundation Internship Program,Internship,Static Program,Annual-Spring,https://www.televisionacademy.com/foundation/internships,OK 200,NEEDS REVIEW,Paid summer internships at LA production companies and networks including doc units,"4/20/2026, 10:51:01 AM",DRAFT
ITVS,ITVS,Tier 1,Public Media,Development,Grants/Funding Assistant,ITVS Diversity Development Fund,Grant,Static Program,Annual-varies,https://itvs.org/get-funded/,OK 200,NEEDS REVIEW,Development grants for producers of color; PBS-bound non-fiction projects,"4/20/2026, 10:51:01 AM",DRAFT
Jerome Foundation,JF,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Jerome Foundation NYC Film Production Grant,Grant,Static Program,Annual-varies,https://www.jeromefdn.org/grants/film-video,DEAD 404,NEEDS REVIEW,NYC-based emerging artists; film/video production grants. MN grants also available.,"4/20/2026, 10:51:01 AM",DRAFT
Karen Schmeer Film Editing Fellowship,KSF,Tier 1,Documentary Film/Series,Post/Editorial,Assistant Editor,Karen Schmeer Film Editing Fellowship,Fellowship,Static Program,Annual-varies,https://www.karenschmeerfellowship.org,BLOCKED (alive) DNS error: https://www.karensc,NEEDS REVIEW,Prestigious editing fellowship; one year paid mentorship with master documentary editor,"4/20/2026, 10:51:01 AM",DRAFT
Mentorship Matters,MM,Tier 2,Documentary Film/Series,Development,Development Assistant,Mentorship Matters Program,Fellowship,Static Program,Annual-varies,https://www.mentorshipmatters.org,OK 200,NEEDS REVIEW,Industry mentorship program for emerging documentary filmmakers; confirm current cycle,"4/20/2026, 10:51:01 AM",DRAFT
Netflix,NFX,Tier 2,Documentary Film/Series,Production,Associate Producer (Junior),Netflix x Black House Foundation Nonfiction Producing Fellowship,Fellowship,Static Program,Annual-varies,https://www.theblackhousefoundation.org/netflix-fellowship,BLOCKED (alive) DNS error: https://www.theblac,NEEDS REVIEW,Paid producing fellowship for Black non-fiction filmmakers; Netflix partnership,"4/20/2026, 10:51:01 AM",DRAFT
Netflix,NFX,Tier 2,Documentary Film/Series,Production,Production Assistant,Netflix New Mexico Crew In-Person Training,Apprenticeship,Static Program,Annual-varies,https://about.netflix.com/en/news/new-mexico-crew-training,OK 200,NEEDS REVIEW,Regional crew training program; production assistant track,"4/20/2026, 10:51:01 AM",DRAFT
Netflix,NFX,Tier 2,Documentary Film/Series,Production,Production Coordinator,Netflix Non-Fiction Line Producer Program,Fellowship,Static Program,Annual-varies,https://about.netflix.com/en/news/non-fiction-line-producer-program,OK 200,NEEDS REVIEW,Production management track for emerging non-fiction producers,"4/20/2026, 10:51:01 AM",DRAFT
Netflix,NFX,Tier 2,Documentary Film/Series,Production,Production Assistant,Netflix x Handy Foundation — Unscripted Boost The Base,Fellowship,Static Program,Annual-varies,https://www.thehandyfoundation.org/netflix,BLOCKED (alive) DNS error: https://www.thehand,NEEDS REVIEW,Entry-level production training for underrepresented talent in unscripted/doc,"4/20/2026, 10:51:01 AM",DRAFT
Netflix,NFX,Tier 2,Documentary Film/Series,Production,Production Coordinator,Netflix x Handy Foundation Non-Fiction Production Coordinator Program,Fellowship,Static Program,Annual-varies,https://www.thehandyfoundation.org/netflix,BLOCKED (alive) DNS error: https://www.thehand,NEEDS REVIEW,Production coordinator track for underrepresented talent; Netflix x Handy partnership,"4/20/2026, 10:51:01 AM",DRAFT
New York State Council on the Arts,NYSCA,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,NYS State of the Arts Fellowship,Fellowship,Static Program,Annual-varies,https://www.arts.ny.gov/programs/media-arts,DEAD 404,NEEDS REVIEW,NYS-based filmmakers; media arts grants and fellowships,"4/20/2026, 10:51:01 AM",DRAFT
PBS,PBS,Tier 1,Public Media,Development,Development Assistant,PBS Accelerator Fellowship,Fellowship,Static Program,Annual-varies,https://www.pbs.org/about/producers/accelerator-fellowship,DEAD 404,NEEDS REVIEW,Fellowship for emerging producers developing projects for PBS broadcast,"4/20/2026, 10:51:01 AM",DRAFT
PBS,PBS,Tier 1,Public Media,Development,Story Researcher,PBS IGNITE Filmmakers Program — Creative Voices Initiative,Fellowship,Static Program,Annual-varies,https://www.pbs.org/about/producers/ignite,DEAD 404,NEEDS REVIEW,Supports first-time and emerging diverse voices for PBS; development + production support,"4/20/2026, 10:51:01 AM",DRAFT
Pitch For Good,PFG,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Pitch For Good Summit Showdown,Grant/Pitch,Static Program,Annual-varies,https://www.pitchforgood.org/summit,DEAD 404,NEEDS REVIEW,Pitch competition for impact documentaries; cash grants awarded to winners,"4/20/2026, 10:51:01 AM",DRAFT
Sundance Institute,SI,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,Sundance Institute Documentary Fund,Grant,Static Program,Annual-varies,https://www.sundance.org/programs/documentary-film/#documentary-fund,OK 200,NEEDS REVIEW,Year-round grants program; 32 projects funded in 2025 totaling $1.5M+,"4/20/2026, 10:51:01 AM",DRAFT
The Whickers,WKR,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,The Whicker Film and TV Funding Award,Grant,Static Program,Annual-Spring,https://www.whickerawards.com/apply/film-and-tv,OK 200,NEEDS REVIEW,UK-based but open to US filmmakers; up to GBP 100k for director-led doc projects,"4/20/2026, 10:51:01 AM",DRAFT
UFO,UFO,Tier 2,Documentary Film/Series,Production,Production Assistant,UFO Short Film Lab,Lab,Static Program,Annual-varies,https://www.ufofilm.org/short-film-lab,BLOCKED (alive) DNS error: https://www.ufofilm,NEEDS REVIEW,Support for short documentary and non-fiction films; lab and mentorship format,"4/20/2026, 10:51:01 AM",DRAFT
Voices Initiative,VI,Tier 2,Documentary Film/Series,Development,Story Researcher,Voices Initiative Storyteller Initiative,Fellowship,Static Program,Annual-varies,https://voicesinitiative.org/storyteller,BLOCKED (alive) DNS error: https://voicesiniti,NEEDS REVIEW,Fellowship for emerging storytellers from underrepresented communities; doc and narrative,"4/20/2026, 10:51:01 AM",DRAFT
Working Films,WF,Tier 2,Documentary Film/Series,Impact/Distribution,Impact Campaign Assistant,Working Films Impact Kickstart,Grant/Lab,Static Program,Annual-varies,https://www.workingfilms.org/impact-kickstart,OK 200,NEEDS REVIEW,Small grants + consulting to launch impact campaigns for social issue docs,"4/20/2026, 10:51:01 AM",DRAFT
AXS Film Fund,AXS,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,AXS Film Fund,Grant,Static Program,Annual-varies,https://www.axsfilmfund.org,OK 200,NEEDS REVIEW,Supports nonfiction films by filmmakers with disabilities,"4/20/2026, 10:51:01 AM",DRAFT
SFFILM,SFF,Tier 2,Documentary Film/Series,Post/Editorial,Edit Assistant,SFFILM Documentary Film Fund,Grant,Static Program,Annual-varies,https://sffilm.org/artist-development/fund-your-film//documentary-film-fund,DEAD 404,NEEDS REVIEW,Post-production grants for documentary features; open internationally,"4/20/2026, 10:51:01 AM",DRAFT
The Handy Foundation,HF,Tier 2,Documentary Film/Series,Production,Production Coordinator,Handy Foundation Non-Fiction Program,Fellowship,Static Program,Annual-varies,https://www.thehandyfoundation.org,BLOCKED (alive) DNS error: https://www.thehand,NEEDS REVIEW,Workforce development for underrepresented talent in unscripted and non-fiction TV/film,"4/20/2026, 10:51:01 AM",DRAFT
ITVS,ITVS,Tier 1,Public Media,Development,Grants/Funding Assistant,ITVS Open Call,Open Call/Fund,Static Program,Annual-varies,https://itvs.org/get-funded/,OK 200,NEEDS REVIEW,Development funding for independent producers. URL updated to get-funded/ — check for current open call cycle,"4/20/2026, 10:51:01 AM",DRAFT
Austin Film Society,AFS,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,AFS Grant for Feature Films,Grant,Static Program,Annual-Spring,https://www.austinfilm.org/afs-grants/afs-grants-overview/,OK 200,NEEDS REVIEW,Texas-based filmmakers only. 2026 deadline May 20. $3M+ awarded since 1996.,"4/20/2026, 10:51:01 AM",DRAFT
Austin Film Society,AFS,Tier 2,Documentary Film/Series,Production,Grants/Funding Assistant,AFS Grant for Short Films,Grant,Static Program,Annual-Summer,https://www.austinfilm.org/afs-grants/afs-grants-overview/,OK 200,NEEDS REVIEW,Texas-based filmmakers only. Reopens Summer 2026.,"4/20/2026, 10:51:01 AM",DRAFT
Pulitzer Center,PC,Tier 1,Investigative Journalism,Development,Grants/Funding Assistant,Pulitzer Center Global Reporting Grant,Grant,Static Program,Rolling,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/global-reporting-grants,BLOCKED (alive) Request failed for https://pul,NEEDS REVIEW,"Rolling applications. Open to doc filmmakers, radio, video, print. No topic restrictions. $5k-$10k for international travel. Supports short docs with ambitious distribution.","4/20/2026, 10:51:01 AM",DRAFT
Pulitzer Center,PC,Tier 1,Investigative Journalism,Development,Story Researcher,Pulitzer Center Campus Consortium Reporting Fellowship,Fellowship,Static Program,Annual-varies,https://pulitzercenter.org/grants-fellowships/opportunities-campus-consortium-members/reporting-fellowships,BLOCKED (alive) Request failed for https://pul,NEEDS REVIEW,Students and recent grads at Campus Consortium partner schools only. $4k stipend + mentorship. Multimedia including video and doc photography eligible.,"4/20/2026, 10:51:01 AM",DRAFT
Pulitzer Center,PC,Tier 1,Investigative Journalism,Development,Story Researcher,Pulitzer Center Thematic Fellowships,Fellowship,Static Program,Annual-varies,https://pulitzercenter.org/opportunities/reporting-grants-fellowships,BLOCKED (alive) Request failed for https://pul,NEEDS REVIEW,"AI accountability, climate, rainforest investigations, gender equality tracks. Funding + training + cohort. Check page for which calls are currently open.","4/20/2026, 10:51:01 AM",DRAFT
Lucie Foundation,LF,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Lucie Foundation Scholarship — Photojournalism/Documentary,Grant/Scholarship,Static Program,Annual-Fall,https://www.luciefoundation.org/programs/scholarship/,OK 200,NEEDS REVIEW,2026 deadline Sept 30. Two tracks: Emerging ($1k + Sony camera) and Professional ($3k). Open worldwide 18+. Submission fee $15-$25. Winners exhibited at House of Lucie Galleries globally.,"4/20/2026, 10:51:01 AM",DRAFT
The Gotham Film & Media Institute,GFMI,Tier 1,Documentary Film/Series,Post/Editorial,Grants/Funding Assistant,Genesis House x Gotham Shorts Fellowship,Grant/Fellowship,Static Program,Annual-Spring,https://thegotham.org/genesis-house-shorts,OK 200,NEEDS REVIEW,"NEW 2026. $10k finishing fund for 3 NYC-shot narrative shorts. Mentorship + screening at Gotham Week (Sept-Oct 2026). Deadline May 14, 2026. Open now.","4/20/2026, 10:51:01 AM",DRAFT
The Gotham Film & Media Institute,GFMI,Tier 1,Documentary Film/Series,Development,Development Assistant,Gotham EDU Film & Media Career Development Program,Fellowship,Static Program,Annual-Spring,https://thegotham.org/gotham-edu/film-and-media-career-development-program/,OK 200,NEEDS REVIEW,"7-week virtual program for students and recent grads. Weekly workshops, speaker sessions, career guidance. $20-25 app fee. Alumni at A24, Apple, HBO Documentaries, PBS.","4/20/2026, 10:51:01 AM",DRAFT
Points North Institute,PNI,Tier 1,Documentary Film/Series,Development,Story Researcher,Diane Weyermann Fellowship,Fellowship,Static Program,Annual-varies,https://pointsnorthinstitute.org/artist-programs/,OK 200,NEEDS REVIEW,Named fellowship at Points North Institute supporting documentary filmmakers. Check artist-programs page for current cycle.,"4/20/2026, 10:51:01 AM",DRAFT
Points North Institute,PNI,Tier 1,Documentary Film/Series,Development,Story Researcher,North Star Fellowship,Fellowship,Static Program,Annual-varies,https://pointsnorthinstitute.org/artist-programs/,OK 200,NEEDS REVIEW,For interdisciplinary artists from historically marginalized backgrounds exploring nonfiction storytelling practice. Annual program at Points North.,"4/20/2026, 10:51:01 AM",DRAFT
Points North Institute,PNI,Tier 1,Documentary Film/Series,Development,Story Researcher,LEF/CIFF Fellowship,Fellowship,Static Program,Annual-varies,https://pointsnorthinstitute.org/artist-programs/,OK 200,NEEDS REVIEW,Creative retreat for feature filmmakers living and working in New England. Supported by LEF Foundation. Annual at Points North / CIFF.,"4/20/2026, 10:51:01 AM",DRAFT
Firelight Media,FM,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,Firelight Fund,Grant/Fund,Static Program,Annual-varies,https://www.firelightmedia.tv/programs,OK 200,NEEDS REVIEW,"NEW — launched for Firelight 25th anniversary. Supports Black, Brown, and Indigenous stories from development through distribution with focus on social justice storytelling.","4/20/2026, 10:51:01 AM",DRAFT
Firelight Media,FM,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,Hulu/Firelight Kindling Fund,Grant/Fund,Static Program,Annual-varies,https://www.firelightmedia.tv/programs,OK 200,NEEDS REVIEW,Resources 3 Firelight-supported filmmakers to develop original nonfiction documentary feature for first look by Firelight Films and Hulu streaming service.,"4/20/2026, 10:51:01 AM",DRAFT
Shorenstein Center,SC,Tier 1,Investigative Journalism,Development,Story Researcher,Documentary Film in the Public Interest Fellowship,Fellowship,Static Program,Rolling,https://shorensteincenter.org/fellowships/shorenstein-fellowships/,OK 200,NEEDS REVIEW,"Harvard Kennedy School. Year-long fellowship for documentary filmmakers and scholars working at intersection of nonfiction film and public interest media. Rolling applications, onboarding Sept + Jan. 10+ years experience required.","4/20/2026, 10:51:01 AM",DRAFT
BAFTA,BAFTA,Tier 1,Documentary Film/Series,Development,Development Assistant,BAFTA Breakthrough US,Fellowship,Static Program,Annual-varies,https://www.bafta.org/programmes/bafta-breakthrough/us/,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Career acceleration for early to mid-career film/TV talent in North America from underrepresented backgrounds. Open to 18+ working in North America. Check site for current cycle.,"4/20/2026, 10:51:01 AM",DRAFT
BAFTA,BAFTA,Tier 1,Documentary Film/Series,Development,Grants/Funding Assistant,BAFTA US Scholarships,Grant/Scholarship,Static Program,Annual-Summer,https://www.bafta.org/programmes/us-scholarships/,BLOCKED (alive) Request failed for https://www,NEEDS REVIEW,Financial support for international students studying film/TV at US universities. Includes Ben Jorgensen Scholarship ($10k for NY grad students). 2026 deadline June 26 — OPEN NOW.,"4/20/2026, 10:51:01 AM",DRAFT
The Redford Center,RC,Tier 2,Documentary Film/Series,Development,Grants/Funding Assistant,Redford Center Grants,Grant/Fund,Static Program,Annual-Spring,https://www.redfordcenter.org/grantapplication/,OK 200,NEEDS REVIEW,"NEW. $40k grant for environmental documentary filmmakers. Sixth cycle since 2016. Cohort-based with mentorship, in-person convening, and potential second-year funding. Deadline May 14, 2026 — OPEN NOW.","4/20/2026, 10:51:01 AM",DRAFT
SFFILM,SFFILM,Tier 2,Documentary Film/Series,Post/Editorial,Grants/Funding Assistant,SFFILM Documentary Film Fund,Grant/Fund,Static Program,Annual-Summer,https://sffilm.org/artist-development/fund-your-film/,OK 200,NEEDS REVIEW,"2026 apps OPEN until July 7, 2026. $10k-$20k for 3-6 feature docs in post. Track record includes Ascension, Writing With Fire, Honeyland.","4/20/2026, 10:51:01 AM",DRAFT
Ida B. Wells Society,IBWS,Tier 2,Investigative Journalism,Development,Story Researcher,IBWS Investigative Reporting Fellowship,Fellowship,Static Program,Annual-Jan,https://idabwellssociety.org/training/,OK 200,NEEDS REVIEW,10 journalists/yr. 3-5 yrs exp. Monthly weeklong training sessions in Atlanta Mar-Jul. Free — all travel/lodging covered. 2026 cohort announced Feb. Apps close Jan annually.,"4/20/2026, 10:51:01 AM",DRAFT
